safegraph_place_id,X,Unnamed..0,visitor_home_cbgs,visitor_count,date,city,region,x,y,dist.meters.,area_square_feet
sg:e27d8ede359c430088bdebf26f316a93,111297,200861,5.3005E+11,9,2020/4/27,Kennewick,WA,-119.2749112,46.22534132,1280.626171,1807184
sg:edb57c61e1fd47d6af41ccca25d38880,111296,86047,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2749112,46.22534132,4725.173962,1136461
sg:111d430ebcd749b99e8846f3df156c27,164855,317926,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3319523,46.25174321,5516.050796,587012
sg:43e51f7a00b0429696bc0fdef8aba6ef,164854,132967,5.3005E+11,6,2020/4/27,Kennewick,WA,-119.3319523,46.25174321,5493.270413,476858
sg:4ee5918f4b3a4eb28562f4892e1da6e3,164853,306952,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3319523,46.25174321,14316.38794,200122
sg:70a5506d21a4435abb5b6ff86badee7f,164852,431849,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3319523,46.25174321,458.7178764,75365
sg:88f1320f0a0b467a846ea93929ab1602,164851,307953,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3319523,46.25174321,7363.653083,803918
sg:912dc6efa96141fdbd9a6e329d8d0273,164850,48440,5.3005E+11,4,2020/4/27,Richland,WA,-119.3319523,46.25174321,8165.941332,947
sg:c8c4192215fa4695b028cb27730dd61a,164849,420220,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3319523,46.25174321,11826.88743,18795580
sg:e27d8ede359c430088bdebf26f316a93,164848,200871,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3319523,46.25174321,4510.664547,1807184
sg:48e7e925f5374f9f8b0040212db4bf96,164823,236615,5.3005E+11,6,2020/4/27,Richland,WA,-119.2764076,46.24519999,897.7377558,90878
sg:79501949fd7547fcb255c42df1250de2,164822,374255,5.3005E+11,4,2020/4/27,Richland,WA,-119.2764076,46.24519999,7275.123691,2716841
sg:b8d63e67b42a419b807e302592afad7b,164821,1621,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2764076,46.24519999,9590.687945,67520
sg:c8c4192215fa4695b028cb27730dd61a,164820,420221,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2764076,46.24519999,7493.149062,18795580
sg:e27d8ede359c430088bdebf26f316a93,164818,200864,5.3005E+11,5,2020/4/27,Kennewick,WA,-119.2764076,46.24519999,948.7280386,1807184
