safegraph_place_id,X,Unnamed..0,visitor_home_cbgs,visitor_count,date,latitude,longitude,city,region,x,y,dist.meters.,area_square_feet
sg:2d6a88cacf96431e8866a4628b95958f,311741,13844,530050000000 ,4,2019/4/29,48.865963,-122.606316,Bellingham,WA,-119.2749112,46.22534132,386037.5473,28510
sg:2f4cb50b2b904907a40a598b6826f18c,354704,493846,530050000000 ,4,2019/4/29,46.265752,-119.293613,Richland,WA,-119.1540298,46.19144786,13570.75675,118347
sg:2f4cb50b2b904907a40a598b6826f18c,588876,493849,530050000000 ,4,2019/4/29,46.265752,-119.293613,Richland,WA,-119.1431914,46.19496505,14019.88696,118347
sg:2f4cb50b2b904907a40a598b6826f18c,424808,493845,530050000000 ,4,2019/4/29,46.265752,-119.293613,Richland,WA,-119.2874201,46.28629773,2333.145649,118347
sg:2f4cb50b2b904907a40a598b6826f18c,424763,493844,530050000000 ,4,2019/4/29,46.265752,-119.293613,Richland,WA,-119.2550405,46.23374324,4637.534154,118347
sg:2f4cb50b2b904907a40a598b6826f18c,424875,493847,530050000000 ,4,2019/4/29,46.265752,-119.293613,Richland,WA,-119.2944986,46.26637634,97.35367848,118347
sg:2f90a6df992c471ea565413913f6b798,263887,247311,530050000000 ,5,2019/4/29,46.738768,-119.907853,Mattawa,WA,-119.015631,46.15807476,94160.06787,330257
sg:300d8394bd2d406ebad7623bf413e970,521882,326742,530050000000 ,4,2019/4/29,46.203583,-119.77634,Grandview,WA,-119.834757,46.23641639,5799.535395,57293
sg:37c7fe5b5ff2465bafa0ed598e424a57,588793,630607,530050000000 ,4,2019/4/29,46.284639,-119.360648,Kennewick,WA,-119.3630645,46.27770697,792.7304118,45657
sg:37c7fe5b5ff2465bafa0ed598e424a57,588902,630606,530050000000 ,4,2019/4/29,46.284639,-119.360648,Kennewick,WA,-119.3531984,46.28111922,694.7599352,45657
sg:3834682a3ea4438dadb3f93e5c4a0777,247600,359931,530050000000 ,4,2019/4/29,46.278178,-119.493339,Benton City,WA,-119.4105296,46.20518102,10326.07739,81425
sg:3834682a3ea4438dadb3f93e5c4a0777,843066,359930,530050000000 ,6,2019/4/29,46.278178,-119.493339,Benton City,WA,-119.590267,46.32937401,9388.498829,81425
sg:3834682a3ea4438dadb3f93e5c4a0777,542111,359929,530050000000 ,6,2019/4/29,46.278178,-119.493339,Benton City,WA,-119.4836359,46.28445497,1022.76875,81425
sg:3834682a3ea4438dadb3f93e5c4a0777,624511,359932,530050000000 ,4,2019/4/29,46.278178,-119.493339,Benton City,WA,-119.4863533,46.25996379,2095.021996,81425
sg:395a854c05404638b40a28264b575ac0,279505,82637,530050000000 ,6,2019/4/29,46.267341,-119.164625,Pasco,WA,-119.2189756,46.18583382,9983.202166,217789
sg:395a854c05404638b40a28264b575ac0,424821,82647,530050000000 ,4,2019/4/29,46.267341,-119.164625,Pasco,WA,-119.1426671,46.1858036,9220.296094,217789
sg:395a854c05404638b40a28264b575ac0,311697,82641,530050000000 ,4,2019/4/29,46.267341,-119.164625,Pasco,WA,-119.7816826,46.21565961,47936.27425,217789
sg:3d38910e6eec49b3b0a6785aff35645e,424792,191117,530050000000 ,4,2019/4/29,47.408477,-120.274773,Wenatchee,WA,-119.1741844,46.19164297,159236.2874,1164971
sg:3df27f2409764002b4ba662f8fbdb9df,424865,202834,530050000000 ,4,2019/4/29,46.196522,-119.206782,Kennewick,WA,-119.1937384,46.19320822,1072.113031,33640
sg:3df27f2409764002b4ba662f8fbdb9df,263849,202835,530050000000 ,4,2019/4/29,46.196522,-119.206782,Kennewick,WA,-119.1504427,46.21092292,4633.470163,33640
sg:3f99bf576c2d4b11b73110552eb4f4fb,263865,414164,530050000000 ,4,2019/4/29,46.277047,-119.304137,Richland,WA,-119.1284236,46.1780874,17457.03267,145674
sg:3f99bf576c2d4b11b73110552eb4f4fb,682965,414163,530050000000 ,4,2019/4/29,46.277047,-119.304137,Richland,WA,-119.3019741,46.27413901,363.7011869,145674
sg:40233b8d302b413dbf82bf0b57aea5a8,311714,596571,530050000000 ,9,2019/4/29,46.222123,-119.284801,Richland,WA,-119.3069095,46.23024402,1929.755381,252739
sg:40233b8d302b413dbf82bf0b57aea5a8,311740,596573,530050000000 ,4,2019/4/29,46.222123,-119.284801,Richland,WA,-119.2749112,46.22534132,842.7023909,252739
sg:43e51f7a00b0429696bc0fdef8aba6ef,588891,428299,530050000000 ,4,2019/4/29,46.299779,-119.348697,Kennewick,WA,-119.1771933,46.22154764,15825.89881,476858
sg:43e51f7a00b0429696bc0fdef8aba6ef,753666,428302,530050000000 ,4,2019/4/29,46.299779,-119.348697,Kennewick,WA,-119.2671785,46.29734135,6286.48506,476858
sg:43e51f7a00b0429696bc0fdef8aba6ef,311751,428303,530050000000 ,4,2019/4/29,46.299779,-119.348697,Kennewick,WA,-119.3019404,46.28586647,3920.651949,476858
sg:43e51f7a00b0429696bc0fdef8aba6ef,588836,428300,530050000000 ,4,2019/4/29,46.299779,-119.348697,Kennewick,WA,-119.2935857,46.27742044,4920.624137,476858
sg:43e51f7a00b0429696bc0fdef8aba6ef,701788,428301,530050000000 ,4,2019/4/29,46.299779,-119.348697,Kennewick,WA,-119.3438318,46.29245303,896.4702737,476858
sg:43e51f7a00b0429696bc0fdef8aba6ef,424831,428304,530050000000 ,4,2019/4/29,46.299779,-119.348697,Kennewick,WA,-119.2786755,46.31479672,5646.399825,476858
sg:43e51f7a00b0429696bc0fdef8aba6ef,424753,428306,530050000000 ,4,2019/4/29,46.299779,-119.348697,Kennewick,WA,-119.3008717,46.24047041,7553.33507,476858
sg:43e51f7a00b0429696bc0fdef8aba6ef,130563,428298,530050000000 ,4,2019/4/29,46.299779,-119.348697,Kennewick,WA,-119.3202473,46.1879838,12618.929,476858
sg:43e51f7a00b0429696bc0fdef8aba6ef,263886,428307,530050000000 ,4,2019/4/29,46.299779,-119.348697,Kennewick,WA,-119.015631,46.15807476,30137.51247,476858
sg:43e51f7a00b0429696bc0fdef8aba6ef,837825,428305,530050000000 ,4,2019/4/29,46.299779,-119.348697,Kennewick,WA,-119.3779763,46.28272566,2946.773869,476858
sg:445ba140a88848fbba41984ba446bc72,588854,825667,530050000000 ,4,2019/4/29,47.659291,-122.319015,Seattle,WA,-119.3806597,46.29409884,270192.4631,696
sg:45d73c5cdcdc44c58da6ef03b3775a9b,826103,805217,530050000000 ,8,2019/4/29,46.199615,-119.775423,Grandview,WA,-119.7915839,46.18686575,1888.011843,259587
sg:45d73c5cdcdc44c58da6ef03b3775a9b,521881,805219,530050000000 ,5,2019/4/29,46.199615,-119.775423,Grandview,WA,-119.834757,46.23641639,6139.452572,259587
sg:45d73c5cdcdc44c58da6ef03b3775a9b,441434,805218,530050000000 ,6,2019/4/29,46.199615,-119.775423,Grandview,WA,-119.7633165,46.19468118,1083.512636,259587
sg:46465cef8baa46e4b18603fa5a6acb34,577220,557876,530050000000 ,4,2019/4/29,47.645633,-122.334806,Seattle,WA,-119.2301384,46.2176862,284742.8029,850485
sg:46d937ca3f67497aa245d36ef27d2fec,588792,402877,530050000000 ,4,2019/4/29,46.350996,-119.35445,Kennewick,WA,-119.3630645,46.27770697,8173.598657,15926231
sg:46d937ca3f67497aa245d36ef27d2fec,588811,402876,530050000000 ,4,2019/4/29,46.350996,-119.35445,Kennewick,WA,-119.2289071,46.20487683,18905.94106,15926231
sg:46d937ca3f67497aa245d36ef27d2fec,424771,402874,530050000000 ,4,2019/4/29,46.350996,-119.35445,Kennewick,WA,-119.2764076,46.24519999,13208.02146,15926231
sg:46d937ca3f67497aa245d36ef27d2fec,651338,402878,530050000000 ,4,2019/4/29,46.350996,-119.35445,Kennewick,WA,-119.293564,46.2723232,9923.259459,15926231
